	Title of issue	Username	Names of label
0	Empty string, not required, but failing format checks.	dci-aloughran	[]
1	Replaced phantomjs dependency with headless chrome by creating custom-launcher	ossdev07	[]
2	AJV is reporting the missing of required properties incorrectly	flaviofernandes004	['enhancement']
3	Fix types	qm3ster	['typescript']
4	Property 'missingProperty' does not exist on type 'ErrorParameters'.	ionutmiftode	['compatibility', 'enhancement']
5	select/selectCases/selectDefault with async custom function in selectCases	jay1337	['missing info']
6	possible bug with removeAdditionalProperties: true	AVVS	['missing info']
7	IPv4 address matches both `ipv4` and `hostname` formats	GochoMugo	['enhancement']
8	Customize JsonSchemaValidation Error Messages	vishalhatiskar	['missing info']
9	if/then/else & error messages	delmu	['missing info']
10	"`$id` doesn't alter resolution scope for `{ ""$ref"": ""#"" }`"	jdesrosiers	['limitation']
11	"additionalProperties/removeAdditional not working with ""select"""	vflopes1994	['question']
12	id, $id, confusion in general, and since ajv 4 in particular	gregglind	['docs']
13	Checking validity of keywords	erencay	['enhancement', 'option']
14	Missing logger in Typescript declarations	felipeochoa	['enhancement', 'typescript']
15	feat: ES module default export interop	bradleyayers	['typescript']
16	Feature request: type-aware validation functions	dcolthorp	['enhancement']
17	[Q] Is it possible to remove default?	btd	['thinking']
18	Getting meta info about how a value matched a schema	mhelvens	['enhancement']
19	ES6 module export	aubergene	['enhancement']
20	Ignore $comment when used together with $ref	FloEdelmann	['enhancement']
21	[request] $data reference for `default` keyword.	filipesilva	['enhancement']
22	Request: Smaller node_modules installed size	maxogden	['enhancement']
23	better error reporting for Ajv.validateSchema	chharvey	['enhancement']
24	Do not short-circuit anyOf with allErrors option	epoberezkin	['enhancement', 'option']
25	required fields	mikila85	['suggestion', 'thinking']
26	Validation of multipleOf keyword with decimal numbers	manahga	['enhancement', 'thinking']
27	Having a callback after each error that happened when `allErrors` is `true`	suricactus	['option', 'suggestion']
28	Report data changes when validating with removeAdditional, coerceTypes, useDefaults options	tony-kerz	['enhancement', 'option', 'thinking']
29	URL format type runtime scales exponentially with tld length	colwynmyself	['enhancement']
